;Matvare;Vann;Kilojoule;Fett;Kolesterol;Karbohydrat;Kostfiber;Protein;Vitamin A;Vitamin D;Vitamin E;Vitamin C
;;g;kJ;g;mg;g;g;g;RAE;µg;alfa-TE;mg
9.012;Sjokoladepulver, uten melk;3;1640;2.5;0;83.3;6.8;4.5;0;0;0.1;0
9.013;Karamell;8;1569;22;17;42.9;0;1.5;39;0.1;0.3;0
9.015;Sirup;21;1261;0;0;74.1;0;0.1;0;0;0;0
9.016;Marsipan, 50 % mandler;4;2120;27.5;0;52.7;3.5;10.5;0;0;11.7;0
9.017;Melkesjokolade;1;2256;32.3;21;53.1;2.6;8.1;26;0;0.6;0
9.018;Sjokolade, med nøtter;1;1967;24.3;16;51.9;3.8;9.1;16;0;3.6;0
9.019;Kokesjokolade, mørk;1;2134;27.6;7;56.8;5.2;6.2;7;0;0.6;0
9.021;Pastiller;9;1091;1.6;0;60;0;0.7;0;0;0;0
9.022;Sukkertøy, drops;3;1377;0;0;78;0;3;0;0;0;0
9.023;Sukkertøy, drops, fylt;2;1367;5.2;0;68.6;0;0.5;0;0;0;0
9.03;Lakris, søt;14;1403;0.5;0;76.8;1.1;4.1;0;0;0;0
9.101;Marsipanbrød, med sjokoladetrekk;11;2050;27.8;0;44.2;5.5;13.3;0;0;9.2;0
9.102;Sjokolade, med kjeks;1;2298;31.1;19;58;2.7;8.2;35;0;0.5;0
9.103;Sjokolade, fylt, konfekt;6;2037;24.3;7;60.2;3.2;5.2;8;0;2.1;0
9.104;Kokesjokolade, lys;1;2201;29.5;14;56.7;3.3;7;27;0;0.6;0
9.105;Sjokolade, småsjokolader, løsvekt/pose;6;1918;22.4;13;56.7;1.9;6.5;11;0;0.6;0
9.106;Smågodt, blandet, uten sjokolade;14;1569;0;0;88.5;0;3.8;0;0;0;0
9.107;Smågodt, salte;20;1218;0;0;62.9;0.5;8.5;0;0;0;0
9.108;Vaniljesukker;8;1549;0;0;91.1;0;0;0;0;0;0
9.109;Sjokoladepulver, Rett i koppen;4;1582;5.1;0;67.5;7.1;11.1;0;0;0;0
9.11;Sorbet;54;763;0;0;43.5;0.2;1.3;1;0;0.1;19
9.111;Kokosbolle;23;1576;14.8;3;55.2;1.7;4.5;6;0;0.2;0
9.113;Lakriskonfekt;8;1637;5.2;0;78.8;1.2;5.6;0;0;0;0
9.114;Saftis;81;313;0.1;0;18.1;0;0.1;0;0;0.1;1
9.116;Sjokolade, melkesjokolade, porøs;1;2177;30.3;18;51.8;2.6;9.1;19;0;0.5;0
9.117;Sjokolade, med gelé og marsipan, type Troika;11;1866;17.8;2;65.6;3.7;3.7;0;0;1.9;0
9.124;Pastiller, uten sukker;12;193;0.1;0;0;22;0.8;0;0;0;0
9.125;Karamell, med sjokoladetrekk;6;1796;21.7;23;53.4;0;5;35;0;2;0
9.127;Skumgodter, Marshmallows;17;1119;0;0;61.9;0;3.9;0;0;0;0
9.128;Geléfrukter, type Seigmenn;19;1243;0;0;65.5;0;7.6;0;0;0;0
9.129;Tyggegummi, med sukker;3;1384;0;0;81;0;0.4;0;0;0;0
10.001;Fruktsaus, av pulver, tilberedt;85;221;0;0;13;0;0;0;0;0;0
10.002;Fromasj, av pulver, tilberedt;64;783;10;0;20;0;4.3;0;0;0;0
10.003;Fruktsuppe, av pulver, tilberedt;85;241;0;0;14;0;0.2;0;0;0;0
10.004;Gelé, av pulver, tilberedt;80;330;0;0;18;0;1.4;0;0;0;0
10.005;Nypesuppe, av pulver, tilberedt;86;226;0.1;0;13;0;0.1;0;0;0;70
10.006;Sjokoladepudding, av pulver, tilberedt;75;349;1.4;0;14.3;0;3.2;39;0;0;0
10.007;Vaniljesaus, av pulver, tilberedt;82;324;1.4;0;12.9;0;3.1;84;0;0;0
10.008;Grytebasis, orientalsk, uten kjøtt;85;224;1;0;8.5;1;2;0;0;0;5
10.009;Grytebasis, med ris, meksikansk, uten kjøtt;79;351;1;0;16;1;2;0;0;0;5
10.01;Grytebasis, med pasta, italiensk, uten kjøtt;80;292;1;0;12;1;2.5;0;0;0;5
10.011;Ertesuppe, av pulver;85;248;1;0;8;1.9;3.5;0;0;0;0
10.012;Blomkålsuppe, av pulver;93;145;1;0;4.5;0.8;1.5;0;0;0;5
10.013;Tomatsuppe, av pulver;91;141;0.5;0;6;0.4;1;0;0;0;5
10.014;Tomatsuppe, med makaroni, av pulver;90;163;0.5;0;7;1;1;0;0;0;5
10.015;Bernaisesaus, av pulver;68;930;21;0;6.5;0;2.5;0;0;0;0
10.016;Brun saus, av blokk;89;240;3.5;0;5.5;0;1;0;0;0;0
10.017;Brun saus, kjøttkakesaus, av pulver;91;148;1;0;5.5;0;1;0;0;0;0
10.018;Hvit saus, av pulver;85;297;2.5;0;8;0;4;0;0;0;0
10.019;Sjysaus, av pulver;95;78;0.5;0;2.5;0;1;0;0;0;0
10.02;Ertestuing, av pulver;65;548;1.5;0;20;1;8.5;0;0;0;0
10.021;Sjokoladedrikk, Rett i koppen;83;302;1;0;13;1.2;2;0;0;0;0
10.023;Fiskesuppe, type Bergensk, av pulver;92;181;1;0;5.5;1;2.5;0;0;0;1
10.024;Betasuppe, av pulver, tilberedt;88;188;0.5;0;7.5;2;1.5;0;0;0;M
10.025;Brun saus, med løk, av pulver;90;166;1.5;0;5.5;0;1;0;0;0;0
10.026;Viltsaus, av pulver;86;263;2.5;0;7;0;3;0;0;0;0
10.028;Grytebasis, Jegergryte, uten kjøtt;88;268;1.5;0;9;1;3;0;0;0;M
10.029;Grytebasis, Stroganoff, uten kjøtt;85;276;1.5;0;9.5;1;3;0;0;0;5
10.031;Tomatsuppe, krutonger, Rett i koppen;89;198;1;0;8;1;1;0;0;0;5
10.032;Blomkål/brokkolisuppe, Rett i koppen;90;174;1.5;0;5.5;1;1;0;0;0;M
10.033;Grytebasis, Pasta di Napoli, uten kjøtt;70;502;3;0;19;1;3.5;0;0;0;5
10.034;Pizzafyllbasis, uten kjøtt;82;275;1;0;12;1;1.5;0;0;0;5
10.1;Buljongpulver;5;609;4.5;0;9;0;17;0;0;0;0
10.109;Grytebasis, med ris, pulver;6;1566;4.5;0;71;4.9;9;0;0;0;M
10.11;Grytebasis, med spagetti, pulver;6;1440;4;0;64;0;12;0;0;0;M
10.113;Tomatsuppe, pulver;5;1573;8.5;0;63;0;11;0;0;0;M
10.123;Fiskesuppe, Bergensk, pulver;6;1513;8.5;0;52;1;18;0;0;0;M
10.124;Potetmospulver, med melk;7;1457;1.5;2;70.7;6.9;8.5;0;0;0.3;60
10.125;Dip saus, sursøt Barbeque saus;68;408;0.4;0;22.6;0;0.5;0;0;0.2;0
11.001;Morsmelk;87;296;4.1;16;7.2;0;1.3;60;0;0.3;4
12.004;Kjøttbuljong, tilberedt;98;12;0.1;0;0.1;0;0.4;0;0;0;0
12.007;Gjær, pressgjær;70;277;0.4;0;1.1;6.2;11.4;0;0;0;0
12.008;Sennep;63;662;6.4;0;18.5;1.7;5.7;0;0;1.8;0
12.01;Karamellsaus;30;1190;0;0;70;0;0;0;0;0;0
12.011;Sjokoladesaus, kjøpt;28;1138;1.2;0;62;0;2.3;0;0;0;0
12.012;Popcorn, poppet, kjøpt;5;1726;15;0;51.7;11;12;8;0;0;0
12.013;Popcorn, poppet, uten fett;4;1548;4.2;0;62.8;15.1;12;10;0;0.1;0
12.014;Saltstenger;4;1743;8.4;0;71;4.3;11.2;0;0;0.3;0
12.015;Baconcrisp;2;2520;46;0;0.2;0;47.9;0;0;0;0
12.016;Ostepop;2;2113;30;0;44;11;9.8;17;0;0;0
12.017;Tortillachips, maischips;7;2035;25.2;0;56;5.2;6.4;0;0;2.1;0
12.018;Bakepulver;6;666;0;0;34;0;5.2;0;0;0;0
12.022;Salt, bordsalt;1;0;0;0;0;0;0;0;0;0;0
12.023;Mineralsalt;0;0;0;0;0;0;0;0;0;0;0
12.024;Urtesalt;10;197;1.7;0;0.3;0;7.6;0;0;0;0
12.025;Salt, bordsalt, jodert;1;0;0;0;0;0;0;0;0;0;0
12.026;Havsalt;4;0;0;0;0;0;0;0;0;0;0
12.027;Eddik 7%;93;0;0;0;0;0;0;0;0;0;0
12.028;Popcorn, poppet i mikrobølgeovn;2;1967;22.3;0;50.7;15;9.4;0;0;2.8;0
12.029;Popcorn, poppet i soyaolje;4;1783;14.7;0;55.9;13.4;10.7;9;0;1.2;0
12.03;Potetchips, stekt i peanøttolje;3;2126;29;0;53.8;4.5;6;0;0;2.8;21
12.109;Gjær, tørrgjær;5;885;1.7;0;3.5;19.7;35.6;0;0;0;0
13.003;Brus, med sitronsmak, med sukker;90;170;0;0;10;0;0;0;0;0;0
13.004;Brus, med sitronsmak, kunstig søtet, lett;100;0;0;0;0;0;0;0;0;0;0
13.005;Vann, med kullsyre;100;0;0;0;0;0;0;0;0;0;0
13.007;Vin, alkoholfri;95;71;0;0;4;0;0.2;0;0;0;0
13.009;Kaffe, traktet, kokt;99;2;0;0;0;0;0.1;0;0;0;0
13.01;Te, svart;100;2;0;0;0;0;0.1;0;0;0;0
13.011;Brennevin, 60 vol-% alkohol;47;1528;0;0;0;0;0;0;0;0;0
13.012;Brennevin, 40 vol-% alkohol;65;1013;0;0;2.1;0;0;0;0;0;0
13.014;Likør, 35 vol-% alkohol;43;1309;0;0;27.5;0;0;0;0;0;0
13.015;Hetvin, søt, 17 vol-% alkohol;75;578;0;0;9.8;0;0.3;0;0;0;0
13.017;Vin, rødvin, 12 vol-% alkohol;88;309;0;0;0.7;0;0.1;0;0;0;0
13.018;Hetvin, tørr, 15 vol-% alkohol;82;401;0;0;3;0;0.1;0;0;0;0
13.022;Lettøl, lett, 2,5 vol-% alkohol;94;104;0;0;2.5;0;0.2;0;0;0;0
13.023;Gulløl, 5,7 vol-% alkohol;90;246;0;0;6.1;0;0.5;0;0;0;0
13.024;Pils, 4,7 vol % alkohol;91;171;0;0;3.2;0;0.4;0;0;0;0
13.025;Vørterøl;89;162;0;0;9.1;0;0.4;0;0;0;0
13.026;Øl, alkoholfritt;94;103;0;0;5;0;0.4;0;0;0;0
13.03;Vin, alkoholsvak;93;150;0;0;6.1;0;0;0;0;0;0
13.031;Vin, hvitvin, halvtørr, 10 vol-% alkohol;88;299;0;0;0.6;0;0.1;0;0;0;0
13.032;Vin, hvitvin, tørr, 12 vol-% alkohol;89;282;0;0;0.3;0;0.1;0;0;0;0
13.033;Vann, drikkevann, kranvann;100;0;0;0;0;0;0;0;0;0;0
13.034;Kaffe, pulver, tilberedt;99;2;0;0;0;0;0.1;0;0;0;0
13.036;Leskedrikk, kunstig søtet, drikkeferdig;100;5;0;0;0.3;0;0;0;0;0;1
1.036;Kesam 1 % fett;82;314;1;3;4.3;0;12;11;0;0;0
1.213;Melk syrnet, uspesifisert med smak, Biola;85;255;0.1;0;11.8;0;3;3;0;0;1
1.214;Melk syrnet, bringebær el. jordbærsmak, Biola;85;267;0.1;0;12.5;0;3;3;0;0;1
1.215;Lettmelk, 1,5 % fett, laktosefri;99;195;1.5;4;4.8;0;3.4;14;0.4;0;0
1.216;Sjokolademelk, lettere, 0-2 g tilsatt sukker;91;191;0.7;2;6.2;0;3.5;7;0;0;0
1.217;Ost, gulost, med vitamin D;41;1389;26;70;0.1;0;25;283;3.7;0.5;0
1.218;Ost, gulost, med vitamin D, lett;53;923;10;27;0.5;0;32;151;2.4;0.3;0
1.219;Ost, revet, pizzaost;41;1463;26.8;72;0.6;0;27.1;283;0.1;0.5;0
1.22;Prim, med jern, Sprett;31;1272;8;31;50.4;0;7;95;0;0.1;0
1.221;Yoghurt, frukt, 0.1 % fett;85;181;0.1;0;6.3;0;4.1;2;0;0;1
1.222;Yoghurt, med müsli og skogsbær,  Go` Morgen;69;574;3.3;13;21.6;1.2;4.4;30;0;0.1;0
1.223;Yoghurt, naturell, lettere;83;241;1.5;4;6.3;0;4.6;30;0;0.1;0
1.224;Yoghurt, naturell, matyoghurt;80;500;8.1;22;6;0;5.8;104;0;0.2;0
1.225;Krem, pisket, på boks;54;1559;39;105;4.8;0;2;375;0.2;0.9;0
1.226;Kesam 8 fett %;80;483;8;21;4.8;0;6.2;104;0;0.2;0
1.228;Lettmelk, 1,0 % fett;91;175;1;3;4.6;0;3.5;15;0;0;0
1.229;Lettmelk, uspesifisert;90;180;1.2;3;4.7;0;3.3;13;0;0;0
1.23;Lettmelk, ekstra lett, med vit D,  0,5 % fett;91;156;0.5;1;4.6;0;3.5;7;0.4;0;0
1.231;Lettmelk, ekstra lett, med vit D, uspesifisert;91;160;0.7;1;4.6;0;3.3;7;0.4;0;0
1.227;Ekstra lettmelk med vit D og kakaosmak, skolemelk;91;184;0.7;3;5.9;0;3.4;7;0.4;0;0
3.331;Kylling, lårklubbe (underlår), kjøtt med skinn, rå;71;650;8.7;81;0;0;19.3;29;0.2;0.3;0
3.332;Kylling, lår (overlår og lårklubbe), kjøtt uten skinn, rå;73;619;8.5;80;0;0;17.9;24;1;1.8;0
3.333;Kylling, overlår (lår uten lårklubbe), kjøtt uten skinn,  rå;72;632;8.8;83;0;0;18;20;1.6;0.3;0
3.334;Kylling, lårklubbe (underlår), kjøtt uten skinn, rå;76;458;3.7;77;0;0;18.9;17;0.2;0.3;0
3.335;Kjøttdeig, kylling og kalkun, rå;71;656;9;94;0;0;19;21;0.7;0.7;0
3.342;Lam, kotelett og sadel, kjøtt uten fettrand, rå;71;609;6.5;51;0;0;21.7;4;0.7;0.7;0
3.343;Lam, fett fra lammekjøtt, rå;21;2889;76;54;0;0;4.5;24;0.4;1.4;M
3.344;Storfe, entrecôte, synlig fett skåret vekk, rå;72;592;5.7;38;0;0;22.4;3;0.2;0.4;0
3.345;Storfe, fett fra storfekjøtt, rå;17;3011;80;69;0;0;3;25;0.6;1.3;0
3.346;Svin, skinkestek med fettrand, uten svor, rå;64;918;16;50;0;0;19.2;6;0.2;0.7;0
3.347;Svin, bogstek, med fettrand, rå;64;914;16.1;49;0;0;18.7;8;0.2;0.7;0
3.348;Svin, kjøttdeig, rå;71;620;7.1;44;0;0;21;4;0.2;0.8;0
3.349;Svin, 70% skinke, 30% flatbiff, strimlet, rå;73;515;3.8;45;0;0;22;3;0.1;0.6;0
3.35;Svin, fettrand, rå;15;3050;80.5;60;0;0;4.2;22;0.6;1.3;0
3.351;Reinsdyrskav, rå, fryst;72;606;7.5;78;0;0;19.3;8;0.3;0.8;0
3.352;Reinsdyr, kjøtt, rå, tørket;37;1331;17.6;200;0;0;40;21;0.7;0.8;0
3.353;Ribberull, skiver;64;806;13.5;48;0;0;18;6;0.2;0.8;0
3.354;Roastbiff, skiver;71;488;2.4;38;0;0;23.5;1;0,03;0.4;0
3.355;Pølse, salami, dansk type;29;2058;49;85;0.5;0;13.9;6;0.3;0;0
3.356;Pølser, kylling og kalkun, med mindre fett;70;700;10.6;79;5;0;13.1;40;0;1.1;29
5.33;Nudler, med egg, tørr;9;1646;8.2;30;65.3;3.3;12.1;18;0.3;0.4;0
5.331;Nudler av ris, tørr;12;1490;0.6;0;82.2;1.6;3.4;0;0;0;0
5.332;Pasta, fullkorn, tørr;11;1422;2.5;0;60.3;9.6;13.4;0;0;0.8;0
6.1;Ruccolasalat, rå;92;117;0.7;0;2;1.6;2.6;119;0;0.4;15
6.101;Søtpotet, kokt u/salt, med skall;76;348;0.2;0;16.5;3.3;2;818;0;0.7;20
6.102;Tomater soltørkede,  tørr;15;1180;3;0;43;12.3;14.1;44;0;0;39
6.103;Tomater soltørkede, innlagte i olje, avrent;55;799;12.5;2;8.8;12.7;5;54;0;9.1;12
6.104;Linser, grønne og brune, tørre;11;1298;2;0;41.6;11.2;25.1;5;0;0.3;0
6.105;Linser, grønne og brune, kokte med salt;67;457;0.7;0;14.8;3.7;8.8;1;0;0;0
6.106;Wok grønnsaksblanding, rå;89;139;0.2;0;4.7;2.6;1.8;119;0;0.5;51
6.107;Mandler;5;2386;49.2;0;6.3;12.2;21.2;0;0;26.2;0
8.241;Margarin, stekemargarin;17;2977;80;0;0.5;0;0.5;900;7.5;8;0
8.242;Margarin, bordmargarin, 80 % fett;17;2977;80;0;0.5;0;0.5;900;7.5;8;0
8.243;Margarin, bordmargarin, 60 % fett;38;2237;60;0;0.5;0;0.5;900;7.5;8;0
8.244;Margarin, Melange, uten salt og melk, folie;20;2960;80;0;0;0;0;900;8;6;0
8.245;Margarin, Soft Spesial, redusert salt;19;2960;80;0;0;0;0;929;8;25;0
8.246;Margarin, Soft ekstra, beger;28;2599;70;0;0.3;0;0.2;979;8;8;0
8.247;Smør, meierismør, ekstra salt, Kviteseidsmør;16;3031;81;219;1;0;1;1134;10;1.7;0
9.131;Nøttepålegg, type Nugatti, mindre sukker;1;1937;25.8;5;42.6;19.5;6;0;0;5.4;0
9.132;Sjokoladepålegg, type Sjokade, mindre sukker;12;1850;18.8;1;59.6;15.1;1.2;0;0;1.2;0
9.133;Sjokolade, mørk, 70% kakao;0;2478;46.5;3;32.5;10.9;6.9;1;0;0.6;0
9.134;Sjokolade, hvit;1;2272;30.9;20;58.3;0.2;8;19;0;1.1;0
13.037;Vann, mineralvann, kildevann, lite salt (Na), med/uten kullsyre;100;0;0;0;0;0;0;0;0;0;0
13.042;Te, grønn, tilberedt;100;2;0;0;0;0;0.1;0;0;0;3
13.043;Brus, Tonic water;90;153;0;0;9;0;0;0;0;0;0
13.044;Brus, Bitter lemon;90;187;0;0;11;0;0;0;0;0;1
13.045;Brus, cola, med sukker;90;180;0;0;10.6;0;0;0;0;0;0
13.046;Brus, med fruktjuice, med sukker, type Solo, Mozell o.l.;88;187;0;0;11;0;0;0;0;0;1
13.047;Brus, cola, kunstig søtet, lett;100;0;0;0;0;0;0;0;0;0;0
13.048;Brus, med fruktjuice, kunstig søtet, lett, type Solo, Mozell o.l.;100;17;0;0;1;0;0;0;0;0;1
13.049;Øl, sterkøl, bokkøl, 6,5 vol-% alkohol;88;265;0;0;6;0;0.7;0;0;0;0
13.05;Øl, redusert energiinnhold, lavkarbo;94;134;0;0;1;0;0.4;0;0;0;0
13.051;Øl, mørkt, type Bayer og juleøl, 4,5-4,7 vol % alkohol;91;177;0;0;4.1;0;0;0;0;0;0
13.052;Sterkvin, søt, vermouth, 15 vol-% alkohol;72;545;0;0;13.3;0;0;0;0;0;0
13.053;Likør, søt, 21 vol-% alkohol;55;943;0;0;29.9;0;0;0;0;0;0
13.054;Likør, 17 vol-% alkohol, fløtebasert;47;1322;14.6;0;22.5;0;3;180;0;0.5;0
13.055;Sterkvin, søt, portvin, 20 vol-% alkohol;72;629;0;0;9.6;0;0.1;0;0;0;0
13.056;Vin, hvitvin, halvsøt/søt, inkl musserende;88;299;0;0;3.4;0;0.2;0;0;0;0
13.057;Vin, dessertvin, ekstra søt, musserende;87;316;0;0;3.7;0;0.2;0;0;0;0
13.058;Hvitvin, rosé, musserende, uspesifisert;81;436;0;0;6;0;0.2;0;0;0;0
13.059;Vin, rødvin, tørr;88;266;0;0;0.2;0;0.1;0;0;0;0
13.06;Rødvin, uspesifisert;88;289;0;0;0.5;0;0.1;0;0;0;0
13.061;Smoothie med yoghurt, juice, banan og bær;84;252;1.2;3;9.9;1.3;1.7;11;0;0.5;18
13.062;Smoothie med juice, banan og bær;83;241;0.3;0;11.8;1.8;0.9;1;0;0.5;19
13.063;Cider, søt, 4,5 vol% alkohol;89;249;0;0;8.5;0;0;0;0;0;0
13.064;Energidrikk med taurin, koffein og B-vitaminer;88;209;0;0;12.1;0;0.2;0;0;0;0
13.065;Energidrikk med taurin, koffein og B-vitaminer, sukkerfri;88;202;0;0;11.5;0;0.4;0;0;0;0
13.066;Soyadrikke, søtet, tilsatt kalsium;90;264;2;0;7.7;0.6;3.2;0;0;0.3;1
13.067;Soyadrikke, usøtet;93;146;2.2;0;0.1;0.6;3.4;0;0;0.3;0
13.068;Havredrikke, med kalsium og vitaminer;91;191;1.6;0;6.5;0.8;0.9;0;0.5;0.1;0
1.233;Skyr, syrnet melkeprodukt, med smak, kunstig søtet;83;248;0.2;0;4;0.3;10;0;0;0;1
1.234;Skyr, syrnet melkeprodukt, naturell;83;251;0.2;0;3.3;0;11;0;0;0;1
3.33;Kylling, overlår (lår uten lårklubbe), kjøtt med skinn, rå;66;882;15.9;84;0;0;17.3;42;1.4;0.3;0
5.333;Nudler, kokt, med krydder;77;422;4.3;0;11.6;3.1;2.4;0;0;0.5;0
5.334;Nudler av ris, kokt uten salt;74;437;0.2;0;23.9;1;0.9;0;0;0;0
5.335;Pasta fullkorn, kokt med salt;59;658;1;0;29;3.7;5.8;0;0;0.1;0
9.135;Kjøttkaker med ertestuing og poteter, Fjordland;79;378;3.2;0;9.2;1.8;5.2;0;0;0.2;2
9.136;Kokt laks med urtesaus, poteter og babygulrøtter, Fjordland;80;393;4.3;0;6.5;1;6.8;0;1.9;0.8;3
9.137;Svinestek med surkål og poteter, Fjordland;79;362;2.1;0;9.7;1.3;6.4;0;0;0.2;3
